id	hits	hits.normalized	diff.expr.cases	is.exception
Rb1	0	0.0	0	false
Psmd4	0	0.0	0	false
BAD	0	0.0	0	false
STP2	0	0.0	0	false
RC3H2	0	0.0	0	false
Psmd1	0	0.0	0	false
PRKAB1	0	0.0	0	false
PRKAB2	0	0.0	0	false
LARP7	0	0.0	0	false
L1CAM	0	0.0	0	false
NECAP1	0	0.0	0	false
NECAP2	0	0.0	0	false
LAS1L	0	0.0	0	false
TFR2	0	0.0	0	false
AGTR2	0	0.0	0	false
AGTR1	0	0.0	0	false
BAX	0	0.0	0	false
ORAI2	0	0.0	0	false
Ehmt1	0	0.0	0	false
FSIP2	0	0.0	0	false
FSIP1	0	0.0	0	false
HCN4	0	0.0	0	false
PRKAA2	0	0.0	0	false
SCT	0	0.0	0	false
NPRL2	0	0.0	0	false
NPRL3	0	0.0	0	false
SYNPO2	0	0.0	0	false
IWS1	0	0.0	0	false
PRKAA1	0	0.0	0	false
SDAD1	0	0.0	0	false
TFPI	0	0.0	0	false
SPDEF	0	0.0	0	false
CRHBP	0	0.0	0	false
Mta1	0	0.0	0	false
TFPT	0	0.0	0	false
OYE2	0	0.0	0	false
CAPNS1	0	0.0	0	false
Agap2	0	0.0	0	false
Rrp1b	0	0.0	0	false
STOM	0	0.0	0	false
Mta3	0	0.0	0	false
Plk4	0	0.0	0	false
GSTK1	0	0.0	0	false
PRPF38B	0	0.0	0	false
NEBL	0	0.0	0	false
Plk2	0	0.0	0	false
ATP6AP2	0	0.0	0	false
PRPF38A	0	0.0	0	false
ATP6AP1	0	0.0	0	false
ZNF10	0	0.0	0	false
DHFR	0	0.0	0	false
MOV10	0	0.0	0	false
MSB1	0	0.0	0	false
BCR	0	0.0	0	false
PPFIBP2	0	0.0	0	false
MSB3	0	0.0	0	false
SFXN1	0	0.0	0	false
PKIB	0	0.0	0	false
PKIA	0	0.0	0	false
SFXN4	0	0.0	0	false
HYOU1	0	0.0	0	false
STRN	0	0.0	0	false
CRYAB	0	0.0	0	false
SF1	0	0.0	0	false
DZIP3	0	0.0	0	false
PKIG	0	0.0	0	false
CRYAA	0	0.0	0	false
SET	0	0.0	0	false
TFRC	0	0.0	0	false
SCOC	1	1.0	1	true
Ccdc22	0	0.0	0	false
ZNF23	0	0.0	0	false
ZNF24	0	0.0	0	false
PPFIBP1	0	0.0	0	false
Rrp9	0	0.0	0	false
LARP1	0	0.0	0	false
PRKACG	0	0.0	0	false
ZNF20	0	0.0	0	false
SCP2	0	0.0	1	true
SFN	0	0.0	0	false
PRKACB	0	0.0	1	true
PRKACA	0	0.0	0	false
SDF2L1	0	0.0	0	false
GSTM4	0	0.0	0	false
