id	hits	hits.normalized	diff.expr.cases	is.exception
"31528"	0	NaN	0	true
"33925"	0	NaN	0	true
"11255"	0	NaN	0	true
"13652"	0	NaN	0	true
"35222"	0	NaN	0	true
"35488"	0	NaN	0	true
"30329"	0	NaN	0	true
"32726"	0	NaN	0	true
"14851"	0	NaN	0	true
"12454"	0	NaN	0	true
"10057"	0	NaN	0	true
"34024"	0	NaN	0	true
"31527"	0	NaN	0	true
"33926"	0	NaN	0	true
"13653"	0	NaN	0	true
"11254"	0	NaN	0	true
"35489"	0	NaN	0	true
"35223"	0	NaN	0	true
"12455"	0	NaN	0	true
"14850"	0	NaN	0	true
"10056"	0	NaN	0	true
"16150"	0	NaN	0	true
"32725"	0	NaN	0	true
"34025"	0	NaN	0	true
"33927"	0	NaN	0	true
"12456"	0	NaN	0	true
"11253"	0	NaN	0	true
"13654"	0	NaN	0	true
"35224"	0	NaN	0	true
"31526"	0	NaN	0	true
"14853"	0	NaN	0	true
"32724"	0	NaN	0	true
"10055"	0	NaN	0	true
"34026"	0	NaN	0	true
"30327"	0	NaN	0	true
"33928"	0	NaN	0	true
"34027"	0	NaN	0	true
"12457"	0	NaN	0	true
"35225"	0	NaN	0	true
"11252"	0	NaN	0	true
"31525"	0	NaN	0	true
"30328"	0	NaN	0	true
"13655"	0	NaN	0	true
"14852"	0	NaN	0	true
"32989"	0	NaN	0	true
"10054"	0	NaN	0	true
"32723"	0	NaN	0	true
"14855"	0	NaN	0	true
"12458"	0	NaN	0	true
"17351"	0	NaN	0	true
"35484"	0	NaN	0	true
"11251"	0	NaN	0	true
"33921"	0	NaN	0	true
"33088"	0	NaN	0	true
"13656"	0	NaN	0	true
"10053"	0	NaN	0	true
"16153"	0	NaN	0	true
"34020"	0	NaN	0	true
"34286"	0	NaN	0	true
"18550"	0	NaN	0	true
"12459"	0	NaN	0	true
"14854"	0	NaN	0	true
"17352"	0	NaN	0	true
"35485"	0	NaN	0	true
"11250"	0	NaN	0	true
"33922"	0	NaN	0	true
"26839"	0	NaN	0	true
"32729"	0	NaN	0	true
"33089"	0	NaN	0	true
"13657"	0	NaN	0	true
"10052"	0	NaN	0	true
"16154"	0	NaN	0	true
"34021"	0	NaN	0	true
"34287"	0	NaN	0	true
"14857"	0	NaN	0	true
"35220"	0	NaN	0	true
"33923"	0	NaN	0	true
"35486"	0	NaN	0	true
"32728"	0	NaN	0	true
"549"	0	NaN	0	true
"26838"	0	NaN	0	true
"13658"	0	NaN	0	true
"10051"	0	NaN	0	true
"16151"	0	NaN	0	true
"34022"	0	NaN	0	true
"34288"	0	NaN	0	true
"25639"	0	NaN	0	true
"31529"	0	NaN	0	true
"14856"	0	NaN	0	true
"35221"	0	NaN	0	true
"17350"	0	NaN	0	true
"33924"	0	NaN	0	true
"35487"	0	NaN	0	true
"5040"	0	NaN	0	true
"548"	0	NaN	0	true
"13659"	0	NaN	0	true
"26837"	0	NaN	0	true
"32727"	0	NaN	0	true
"10050"	0	NaN	0	true
"16152"	0	NaN	0	true
"34023"	0	NaN	0	true
"34289"	0	NaN	0	true
"4942"	0	NaN	0	true
"2545"	0	NaN	0	true
"28134"	0	NaN	0	true
"20741"	0	NaN	0	true
"547"	0	NaN	0	true
"1347"	0	NaN	0	true
"3744"	0	NaN	0	true
"29333"	0	NaN	0	true
"29599"	0	NaN	0	true
"4941"	0	NaN	0	true
"2546"	0	NaN	0	true
"28135"	0	NaN	0	true
"20740"	0	NaN	0	true
"3743"	0	NaN	0	true
"546"	0	NaN	0	true
"29598"	0	NaN	0	true
"1348"	0	NaN	0	true
"29332"	0	NaN	0	true
"4940"	0	NaN	0	true
"2543"	0	NaN	0	true
"28136"	0	NaN	0	true
"22040"	0	NaN	0	true
"20743"	0	NaN	0	true
"3742"	0	NaN	0	true
"1345"	0	NaN	0	true
"29335"	0	NaN	0	true
"545"	0	NaN	0	true
"9838"	0	NaN	0	true
"21941"	0	NaN	0	true
"2544"	0	NaN	0	true
"28137"	0	NaN	0	true
"20742"	0	NaN	0	true
"3741"	0	NaN	0	true
"1346"	0	NaN	0	true
"544"	0	NaN	0	true
"29334"	0	NaN	0	true
"9839"	0	NaN	0	true
"21940"	0	NaN	0	true
"34028"	0	NaN	0	true
"2541"	0	NaN	0	true
"28138"	0	NaN	0	true
"33929"	0	NaN	0	true
"1343"	0	NaN	0	true
"3740"	0	NaN	0	true
"29337"	0	NaN	0	true
"35226"	0	NaN	0	true
"11259"	0	NaN	0	true
"543"	0	NaN	0	true
"2540"	0	NaN	0	true
"12450"	0	NaN	0	true
"2542"	0	NaN	0	true
"28139"	0	NaN	0	true
"34029"	0	NaN	0	true
"542"	0	NaN	0	true
"1344"	0	NaN	0	true
