ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE	IS EXCEPTION?
MST4	0	0	16	false
BBS2	0	0	1	false
ZHX3	0	0	2	false
BBS1	0	0	2	false
SLC10A2	0	0	1	false
GAB2	0	0	20	false
AGTRAP	0	0	5	false
KLHL2	0	0	1	false
GAB1	0	0	12	false
PRPF40B	0	0	2	false
KCNRG	0	0	4	false
GAB3	0	0	5	false
PRPF40A	0	0	11	false
ZHX1	0	0	34	false
RAP2A	0	0	10	false
ZHX2	0	0	4	false
MC3R	0	0	1	false
ZBTB9	0	0	15	false
RAP2B	0	0	5	false
TFAP4	0	0	1	false
KCNS3	0	0	1	false
KLHL8	0	0	1	false
KLHL9	0	0	4	false
IGHE	0	0	1	false
TAX1BP1	0	0	6	false
C14orf4	0	0	1	false
TAX1BP3	0	0	4	false
FAM193B	0	0	1	false
MSTN	0	0	2	false
C14orf1	0	0	50	false
Atr	0	0	1	false
Hnrnpr	0	0	1	false
DHX8	0	0	1	false
DHX9	0	0	25	false
RRAD	0	0	5	false
MRPS14	0	0	2	false
SDC3	0	0	7	false
MRPS12	0	0	5	false
SDC4	0	0	3	false
Mtap2	0	0	1	false
TGFA	0	0	4	false
C8A	0	0	2	false
TFB1M	0	0	2	false
Mtap6	0	0	1	false
C8B	0	0	2	false
Mtap4	0	0	1	false
NEU3	0	0	2	false
C8G	0	0	1	false
NEU4	0	0	3	false
RAP1A	0	0	23	false
SH3BGRL	0	0	2	false
RAP1B	0	0	1	false
NEU1	0	0	4	false
RRAS	0	0	7	false
FCER1A	0	0	1	false
FCER1G	0	0	1	false
DYNC1I2	0	0	2	false
DYNC1I1	0	0	5	false
BBS4	0	0	2	false
MRPS27	0	0	3	false
SORT1	0	0	5	false
MRPS25	0	0	1	false
SYK	0	0	43	false
MRPS26	0	0	2	false
GAD2	0	0	3	false
GAD1	0	0	4	false
MRPS24	0	0	1	false
SYP	0	0	6	false
MRPS21	0	0	2	false
CACYBP	0	0	9	false
MRPS22	0	0	1	false
APRT	0	0	2	false
Mad1l1	0	0	1	false
BRMS1	0	0	8	false
KCNQ1	0	0	8	false
KCNQ2	0	0	5	false
FAM195A	0	0	1	false
MC5R	0	0	1	false
KCNQ3	0	0	2	false
KCNQ5	0	0	2	false
TACC2	0	0	3	false
TACC3	0	0	4	false
HDGF	0	0	1	false
RAD1	0	0	10	false
TACC1	0	0	8	false
DYNC1H1	0	0	13	false
IGHM	0	0	4	false
SELPLG	0	0	2	false
MRPS34	0	0	3	false
MRPS35	0	0	1	false
PRICKLE3	0	0	1	false
PRICKLE1	0	0	1	false
RRD2	0	0	1	false
MRPS31	0	0	3	false
POFUT2	0	0	1	false
ENPP1	0	0	2	false
GRE1	0	0	1	false
MC4R	0	0	3	false
SUFU	0	0	14	false
DMBT1	0	0	2	false
RAC3	0	0	3	false
SDF4	0	0	1	false
RAC1	0	0	83	false
SDF2	0	0	1	false
RAC2	0	0	10	false
YKR023W	0	0	1	false
MRE11A	0	0	20	false
APTX	0	0	4	false
SDHB	0	0	1	false
DHDDS	0	0	3	false
ZNF70	0	0	1	false
DNAJB11	0	0	6	false
ZNF74	0	0	2	false
DENND4A	0	0	7	false
Dusp22	0	0	2	false
RAF1	1	0	77	false
Nr3c1	0	0	1	false
INPPL1	0	0	8	false
RRF1	0	0	1	false
ZNF83	0	0	1	false
TBX21	0	0	6	false
IGKC	0	0	3	false
Kcnab2	0	0	1	false
SLIT2	0	0	2	false
TBX20	0	0	1	false
MSX1	0	0	10	false
MSX2	0	0	15	false
Kcnab1	0	0	1	false
DENND5A	0	0	1	false
RAE1	0	0	55	false
Dusp10	0	0	1	false
CARD10	0	0	1	false
CARD11	0	0	2	false
IGF2R	0	0	4	false
PCYT1B	0	0	3	false
IFT20	0	0	5	false
ZNF92	0	0	2	false
PSPC1	0	0	3	false
FGF19	0	0	1	false
FGF10	0	0	1	false
Rtdr1	0	0	1	false
CARD14	0	0	2	false
FGF13	0	0	1	false
IFT27	0	0	1	false
FGF12	0	0	2	false
HTRA2	0	0	5	false
TACO1	0	0	1	false
PLAU	20	1,00	9	false
PLAT	20	1,00	16	false
IGF1R	1	0	32	false
PLB1	0	0	1	false
TGM2	20	1,00	5	false
KCNV2	0	0	3	false
EEF2K	0	0	3	false
PPIP5K1	0	0	2	false
PIBF1	0	0	1	false
RAG1	0	0	5	false
TGM3	0	0	3	false
RAG2	0	0	4	false
PLDN	0	0	18	false
Creb1	0	0	1	false
SUN2	0	0	5	false
TNIP1	20	1,00	5	false
HUNK	0	0	1	false
SHANK1	0	0	11	false
ELF1	0	0	5	false
ELF2	0	0	2	false
ELF3	0	0	15	false
EEF1D	0	0	13	false
TNIP2	0	0	5	false
ELF4	0	0	4	false
ubc	0	0	1	false
TNIP3	0	0	1	false
ELF5	0	0	4	false
EEF1G	4	0	63	false
TAG	0	0	1	false
ZMYND10	0	0	1	false
ZMYND11	0	0	17	false
PLEC	0	0	9	false
SHANK3	0	0	6	false
SHANK2	0	0	13	false
TAT	0	0	10	false
PLD2	0	0	18	false
PLD1	0	0	13	false
TAZ	0	0	2	false
TROVE2	0	0	1	false
PLD3	0	0	1	false
PITPNC1	0	0	1	false
RAI1	0	0	8	false
GRK1	0	0	6	false
RAI2	0	0	2	false
CA2	0	0	6	false
GRK4	0	0	3	false
LASP1	0	0	5	false
CA4	0	0	1	false
GRK6	0	0	7	false
GRK5	0	0	13	false
CA8	0	0	2	false
LPXN	0	0	8	false
CA9	0	0	3	false
TBP	0	0	94	false
RRM2	0	0	2	false
Thrb	0	0	12	false
CAD	0	0	1	false
DAPK1	0	0	9	false
RRM1	0	0	3	false
Thra	0	0	1	false
DAPK3	0	0	7	false
CAT	0	0	4	false
SIGIRR	0	0	5	false
TH1L	0	0	26	false
CBL	0	0	80	false
GMCL1L	0	0	2	false
GRM1	0	0	2	false
IL1RL1	0	0	1	false
GRM3	0	0	4	false
CBS	0	0	5	false
ZIC3	0	0	1	false
GRM7	0	0	3	false
Dctn2	0	0	1	false
ZIC1	0	0	3	false
TDH	0	0	1	false
TDG	0	0	18	false
ZIC2	0	0	5	false
IFT57	0	0	2	false
Bub1	0	0	2	false
HOMER2	0	0	3	false
HOMER3	0	0	6	false
Nr1h4	0	0	1	false
HOMER1	0	0	11	false
HUS1	0	0	13	false
AFAP1	0	0	6	false
CCK	0	0	2	false
TEC	0	0	16	false
NUP93	0	0	15	false
CD2	0	0	13	false
CD5	0	0	7	false
Snap25	0	0	4	false
OSTM1	0	0	4	false
CD4	0	0	17	false
MEX3B	0	0	2	false
CCS	0	0	2	false
NUP98	0	0	23	false
Snap23	0	0	4	false
SDPR	0	0	2	false
CD7	0	0	4	false
Dapk2	0	0	1	false
ZSCAN20	0	0	1	false
CD6	0	0	3	false
KRTAP4-12	0	0	73	false
CD9	0	0	16	false
VPS20	0	0	2	false
TEK	0	0	6	false
TVP15	0	0	1	false
VPS25	0	0	5	false
GTF2IRD1	0	0	5	false
VPS24	0	0	4	false
VPS29	0	0	2	false
VPS28	0	0	6	false
TES	0	0	5	false
GALT	0	0	1	false
RRN3	0	0	13	false
RALB	0	0	4	false
RALA	0	0	20	false
HECW1	0	0	5	false
UBP13	0	0	1	false
MTA1	0	0	22	false
MTA2	0	0	28	false
SIP18	0	0	1	false
SV2C	0	0	1	false
TFG	0	0	7	false
SV2B	0	0	2	false
NUP85	0	0	9	false
TGS1	0	0	5	false
Hes1	0	0	1	false
VPS11	0	0	11	false
ZSCAN16	0	0	2	false
NUP88	0	0	3	false
VPS16	0	0	3	false
ZSCAN18	0	0	1	false
MTA3	0	0	1	false
APOL1	0	0	1	false
RALY	0	0	3	false
ST3GAL2	0	0	1	false
VPS18	0	0	10	false
ST3GAL3	0	0	4	false
PRKCH	0	0	2	false
NFE2	0	0	7	false
PLK4	0	0	3	false
PRKCG	0	0	7	false
EDARADD	0	0	2	false
NFE4	0	0	5	false
PRKCI	0	0	18	false
PRKCD	0	0	28	false
PLK1	0	0	59	false
MCAM	0	0	1	false
PLK3	0	0	8	false
PRKCE	0	0	27	false
PLK2	0	0	2	false
PRKCB	0	0	23	false
PRKCA	0	0	36	false
ELL2	0	0	1	false
ELL3	0	0	1	false
COPZ2	0	0	1	false
COPZ1	0	0	1	false
SF3B14	0	0	2	false
Bcr	0	0	2	false
PRKCZ	0	0	39	false
BCAN	0	0	8	false
BCAM	0	0	1	false
PRKD1	0	0	14	false
PRKD3	0	0	2	false
PRKCQ	0	0	11	false
PRKD2	0	0	1	false
FREM1	0	0	1	false
CFB	0	1,00	2	false
Set	0	0	1	false
RRP8	0	0	1	false
MCA1	0	0	2	false
CFD	0	0	1	false
IPO13	0	0	10	false
CFI	0	0	1	false
CFH	0	0	7	false
PRKDC	0	0	65	false
ELK1	0	0	10	false
CFP	0	0	3	false
IPO11	0	0	5	false
ELK3	0	0	1	false
ELK4	0	0	2	false
L3MBTL	0	0	8	false
MTBP	0	0	1	false
MTC2	0	0	1	false
MTC3	0	0	1	false
MTC4	0	0	1	false
ALCAM	0	0	1	false
NUP62	0	0	19	false
CGB	0	0	1	false
CGA	0	0	4	false
BTF3	0	0	3	false
EXOC8	0	0	14	false
MCD1	0	0	1	false
IL10RB	0	0	2	false
IL10RA	0	0	3	false
CGN	0	0	6	false
PHOX2A	0	0	3	false
IL1F5	0	0	3	false
MTF1	0	0	1	false
MTF2	0	0	4	false
IL1F7	0	0	3	false
GAS1	0	0	1	false
EXOC5	0	0	2	false
RARB	0	0	7	false
Tuba4a	0	0	1	false
EXOC4	0	0	7	false
EXOC7	0	0	13	false
GART	0	0	1	false
RARA	0	0	47	false
GARS	0	0	2	false
GAS7	0	0	1	false
GAS6	0	0	3	false
MOCS2	0	0	1	false
EXOC3	0	0	4	false
EXOC2	0	0	4	false
GAS8	0	0	3	false
Ngfr	0	0	2	false
BTG4	0	0	2	false
BTG2	0	0	10	false
BTG1	0	0	5	false
CHM	0	0	6	false
PRDM16	0	0	3	false
PRDM14	0	0	3	false
RTDR1	0	0	1	false
SDT1	0	0	1	false
PRDM13	0	0	1	false
CHP	0	0	6	false
Thy1	0	0	1	false
MTDH	0	0	1	false
SDSL	0	0	1	false
SPTA1	0	0	9	false
Errfi1	0	0	1	false
Shh	0	0	3	false
NDNL2	0	0	2	false
TK1	0	0	17	false
GAR1	0	0	7	false
SUV3	0	0	1	false
RRS1	0	0	1	false
CIC	0	0	1	false
CDKN2C	0	0	14	false
CDKN2D	0	0	3	false
CDKN2A	0	0	29	false
MCF2	0	0	7	false
CDKN2B	0	0	6	false
ELP2	0	0	9	false
ELP3	0	0	5	false
RRP1B	0	0	28	false
C1orf182	0	0	1	false
ELP4	0	0	3	false
CIT	0	0	6	false
TOM1L2	0	0	1	false
RPL4P5	0	0	3	false
NFIB	0	0	3	false
NFIC	0	0	7	false
TOM1L1	0	0	16	false
PLP2	0	0	1	false
PLP1	0	0	1	false
PLIN3	0	0	3	false
TIMELESS	0	0	12	false
TKT	0	0	2	false
SETD5	0	0	3	false
Tnfrsf14	0	0	2	false
CDKN1B	0	0	31	false
CDKN1C	0	0	9	false
CDKN1A	0	0	45	false
RARG	0	0	4	false
SETD7	0	0	6	false
SETD8	0	0	1	false
STON2	0	0	6	false
RARS	0	0	5	false
ASGR1	0	0	1	false
Nr1i3	0	0	1	false
Nr1i2	0	0	2	false
C1orf190	0	0	10	false
ASGR2	0	0	1	false
SNCAIP	0	0	14	false
OLFML3	0	0	4	false
MTG1	0	0	1	false
ASH2L	0	0	24	false
ADAMTSL4	0	0	11	false
CKB	0	0	4	false
RRP15	0	0	4	false
Tuba1a	0	0	9	false
RRP12	0	0	1	false
NFI1	0	0	2	false
Mdh1	0	0	1	false
GAST	0	0	1	false
SETD2	0	0	3	false
PAIP1	0	0	3	false
PAIP2	0	0	4	false
Rab11b	0	0	1	false
FAM48A	0	0	3	false
BCHE	0	0	1	false
CKM	0	0	4	false
FKBPL	0	0	1	false
DIO2	0	0	9	false
LARP4B	0	0	1	false
HIPK2	0	0	25	false
HIPK1	0	0	4	false
Rbx1	0	0	4	false
HIPK3	0	0	9	false
COPS5	0	0	65	false
COPS4	0	0	15	false
OBSCN	0	0	2	false
COPS6	1	0	112	false
MTNR1A	0	0	3	false
UBOX5	0	0	13	false
COPS3	0	0	19	false
COPS2	0	0	21	false
FKBP8	0	0	5	false
FKBP5	0	0	11	false
FKBP4	0	0	20	false
COPS8	0	0	13	false
FKBP7	0	0	1	false
FRA10AC1	0	0	7	false
FKBP6	0	0	2	false
GTF2I	0	0	25	false
NFIX	0	0	6	false
FKBP3	0	0	6	false
FKBP2	0	0	5	false
GTF2B	0	0	37	false
C1orf174	0	0	4	false
TCEAL1	0	0	17	false
TNC	0	0	3	false
TNF	20	1,00	10	false
CLU	0	0	10	false
PAPSS1	0	0	3	false
THG1L	0	0	1	false
PAPSS2	0	0	1	false
RNU11	0	0	25	false
ABLIM1	0	0	13	false
TNN	0	0	1	false
mad2	0	0	1	false
ABLIM2	0	0	1	false
ABLIM3	0	0	1	false
TCEAL4	0	0	4	false
TNR	0	0	3	false
TCEAL2	0	0	3	false
CFL2	0	0	2	false
CFL1	0	0	13	false
MAP2K4	0	0	16	false
MAP2K5	0	0	8	false
MAP2K2	0	0	6	false
MAP2K3	0	0	10	false
PPEF1	0	0	1	false
MAP2K1	0	0	18	false
Btbd2	0	0	1	false
GTF3A	0	0	4	false
PHO13	0	0	1	false
SYNJ2	0	0	5	false
PITPNM2	0	0	1	false
SYNJ1	0	0	6	false
PITPNM1	0	0	1	false
PITPNM3	0	0	1	false
PPEF2	0	0	1	false
MOCS3	0	0	2	false
CNO	0	0	3	false
C1orf156	0	0	1	false
INSIG2	0	0	2	false
INSIG1	0	0	10	false
Arl3	0	0	1	false
Arl2	0	0	1	false
VPS70	0	0	1	false
Sp1	0	0	6	false
VPS72	0	0	4	false
TPR	0	0	10	false
TCEANC	0	0	8	false
BTLA	0	0	1	false
EVI5L	0	0	1	false
OIP5	0	0	1	false
MAP2K6	0	0	10	false
PLS3	0	0	2	false
IL13RA1	0	0	1	false
MAP2K7	0	0	16	false
MOBKL1B	0	0	8	false
COP	0	0	2	false
DIS3	0	0	4	false
AVPR2	0	0	5	false
SGIP1	0	0	1	false
LANCL2	0	0	1	false
APOA2	0	0	3	false
APOA4	0	0	1	false
KBTBD10	0	0	3	false
BCL9	0	0	1	false
VPS60	0	0	1	false
